Capture ID,Location,Date Captured,Species,Weight (g),Sex,Age Category
SF001,San Francisco,2025-03-14,House Mouse,18,Male,Adult
SF002,San Francisco,2025-03-16,Deer Mouse,22,Female,Subadult
SF003,San Francisco,2025-03-18,House Mouse,16,Female,Juvenile
OAK001,Oakland,2025-03-12,Field Mouse,20,Male,Adult
OAK002,Oakland,2025-03-13,House Mouse,17,Female,Subadult
OAK003,Oakland,2025-03-15,Deer Mouse,25,Male,Adult
OAK004,Oakland,2025-03-16,House Mouse,15,Female,Juvenile
SM001,San Mateo,2025-03-11,Field Mouse,21,Male,Adult
SM002,San Mateo,2025-03-13,House Mouse,19,Male,Subadult
SM003,San Mateo,2025-03-17,House Mouse,14,Female,Juvenile
SM004,San Mateo,2025-03-18,Deer Mouse,23,Female,Adult
MAR001,Marin County,2025-03-10,Field Mouse,24,Male,Adult
MAR002,Marin County,2025-03-12,Deer Mouse,20,Female,Subadult
MAR003,Marin County,2025-03-13,House Mouse,15,Male,Juvenile
MAR004,Marin County,2025-03-15,Field Mouse,22,Female,Adult
SF004,San Francisco,2025-03-20,Deer Mouse,21,Male,Subadult
OAK005,Oakland,2025-03-19,Field Mouse,23,Male,Adult
SM005,San Mateo,2025-03-20,House Mouse,18,Female,Subadult
MAR005,Marin County,2025-03-21,Deer Mouse,19,Female,Juvenile
SF005,San Francisco,2025-03-21,House Mouse,16,Male,Juvenile
